City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
298,Belaya Gora,RU,68.5333,146.4167,17.76,87,99,3.22,overcast clouds
299,Bethanien,NA,-26.502,17.1583,65.82,40,0,4.56,clear sky
300,Corner Brook,CA,48.9667,-57.9484,35.35,86,97,17.56,overcast clouds
301,Tezu,IN,27.9167,96.1667,61.02,94,100,7.43,overcast clouds
302,Waingapu,ID,-9.6567,120.2641,83.37,78,38,5.99,scattered clouds
303,Tres Lagoas,BR,-20.7511,-51.6783,63.12,72,0,6.29,clear sky
304,Mackay,AU,-21.15,149.2,80.69,73,40,17.27,scattered clouds
305,Erzin,TR,36.9559,36.2,65.25,34,98,10.76,overcast clouds
306,Praia Da Vitoria,PT,38.7333,-27.0667,59.25,77,40,15.5,scattered clouds
307,Bandarbeyla,SO,9.4942,50.8122,80.37,82,16,8.55,few clouds
308,Antsohihy,MG,-14.8796,47.9875,71.47,81,3,4.72,clear sky
309,Husavik,IS,66.0449,-17.3389,38.66,98,100,4.38,light rain
310,Bengkulu,ID,-3.8004,102.2655,78.87,87,65,3.85,broken clouds
311,Preston,GB,53.7667,-2.7167,52.68,93,47,6.78,light rain
312,Tieling,CN,42.2931,123.8414,57.63,23,0,11.77,clear sky
313,Port-Gentil,GA,-0.7193,8.7815,80.33,84,100,8.5,moderate rain
314,Tambacounda,SN,13.7539,-13.7586,89.2,15,7,6.89,clear sky
315,Lebu,CL,-37.6167,-73.65,52.61,91,18,7.83,few clouds
316,Tuatapere,NZ,-46.1333,167.6833,61.48,57,51,2.48,broken clouds
317,Okhotsk,RU,59.3833,143.3,25.9,80,99,3.33,overcast clouds
318,Juba,SS,4.8517,31.5825,78.03,56,39,2.08,scattered clouds
319,Maniitsoq,GL,65.4167,-52.9,22.77,84,100,1.79,overcast clouds
320,Stornoway,GB,58.2093,-6.3865,48.16,97,75,13.8,broken clouds
321,Chernyshevskiy,RU,63.0128,112.4714,28.76,81,100,15.57,overcast clouds
322,Coquimbo,CL,-29.9533,-71.3436,59.92,79,1,1.21,clear sky
323,Hofn,IS,64.2539,-15.2082,44.46,78,0,2.84,clear sky
324,Mao,ES,39.8885,4.2658,50.56,87,0,4.61,clear sky
325,Itabira,BR,-19.6192,-43.2269,60.37,93,21,1.83,few clouds
326,Ajdabiya,LY,30.7554,20.2263,60.28,82,28,13.85,scattered clouds
327,Ayia Galini,GR,35.1,24.6833,60.75,69,51,3.0,broken clouds
328,Constantine,DZ,36.365,6.6147,47.61,76,0,2.3,clear sky
329,Makokou,GA,0.5738,12.8642,70.88,98,100,1.54,overcast clouds
330,Laon,FR,49.5667,3.6667,44.46,75,100,6.35,overcast clouds
331,Ngunguru,NZ,-35.6167,174.5,66.47,93,100,23.58,light rain
332,Sao Joao Da Barra,BR,-21.6403,-41.0511,69.51,77,0,10.96,clear sky
333,Kitimat,CA,54.0524,-128.6534,55.9,31,15,1.54,few clouds
334,Baillif,GP,16.0202,-61.7463,77.65,65,100,14.23,overcast clouds
335,Cape Coast,GH,5.1053,-1.2466,79.93,85,94,8.68,light rain
336,Vallenar,CL,-28.5708,-70.7581,64.22,59,0,1.97,clear sky
337,Kikwit,CD,-5.041,18.8162,71.22,95,100,1.36,overcast clouds
338,Hundested,DK,55.9667,11.8667,40.21,84,9,4.5,clear sky
339,Helong,CN,42.5397,128.9972,47.48,41,100,6.8,overcast clouds
340,Whithorn,JM,18.2604,-78.0378,74.46,89,0,1.5,clear sky
341,Santa Catarina De Tepehuanes,MX,25.35,-105.7333,77.92,13,18,2.82,few clouds
342,Arman,RU,59.7,150.1667,27.55,70,100,1.16,overcast clouds
343,Milverton,CA,43.5668,-80.9164,37.67,57,5,5.57,clear sky
344,Hovd,MN,48.0056,91.6419,45.7,21,1,6.49,clear sky
345,Galveston,US,29.3669,-94.9669,82.51,81,0,10.36,clear sky
